Date,Price,Open,High,Low,Volume,Chg%
29-04-2021,46400,46867.0,46904.0,46138.0,6950.0,-0.64
30-04-2021,46431,46306.0,46590.0,46306.0,310.0,0.07
03-05-2021,46963,46849.0,47000.0,46618.0,120.0,1.15
04-05-2021,46782,46890.0,46943.0,46500.0,30.0,-0.39
05-05-2021,46591,46680.0,46692.0,46500.0,50.0,-0.41
06-05-2021,47536,47019.0,47573.0,46980.0,29120.0,2.03
07-05-2021,47719,47540.0,47990.0,47512.0,31360.0,0.38
10-05-2021,47925,47849.0,48083.0,47726.0,21580.0,0.43
11-05-2021,47625,47906.0,47986.0,47351.0,29710.0,-0.63
12-05-2021,47491,47555.0,47838.0,47400.0,25670.0,-0.28
13-05-2021,47452,47400.0,47535.0,47251.0,12520.0,-0.08
14-05-2021,47682,47399.0,47706.0,47356.0,17130.0,0.48
17-05-2021,48437,47855.0,48467.0,47855.0,23470.0,1.58
18-05-2021,48288,48245.0,48496.0,48153.0,18850.0,-0.31
19-05-2021,48660,48275.0,48830.0,47960.0,35570.0,0.77
20-05-2021,48519,48760.0,48760.0,48271.0,21060.0,-0.29
21-05-2021,48368,48351.0,48620.0,48230.0,20650.0,-0.31
24-05-2021,48514,48544.0,48605.0,48351.0,16510.0,0.3
25-05-2021,48780,48447.0,48806.0,48300.0,21060.0,0.55
26-05-2021,48728,48850.0,49100.0,48600.0,16510.0,-0.11
27-05-2021,48561,48730.0,48788.0,48435.0,17840.0,-0.34
28-05-2021,48543,48470.0,48588.0,48237.0,17740.0,-0.04
31-05-2021,48807,48664.0,48874.0,48582.0,2830.0,0.54
01-06-2021,48935,48975.0,49210.0,48800.0,890.0,0.26
02-06-2021,49108,48963.0,49145.0,48948.0,80.0,0.35
03-06-2021,48293,49309.0,49309.0,48213.0,150.0,-1.66
04-06-2021,48650,48321.0,48765.0,48200.0,220.0,0.74
07-06-2021,48911,48767.0,48936.0,48590.0,10910.0,0.54
08-06-2021,48908,48882.0,49120.0,48732.0,15280.0,-0.01
09-06-2021,48904,48911.0,49036.0,48827.0,10270.0,-0.01
10-06-2021,48975,48829.0,49015.0,48502.0,20510.0,0.15
11-06-2021,48717,49016.0,49145.0,48681.0,17040.0,-0.53
